field_name,description
Data.Initiation.CreditorAccount,Identification assigned by an institution to identify an account. This identification is known by the account owner.
Data.Initiation.MandateRelatedInformation,
Data.ReadRefundAccount,Specifies to share the refund account details with PISP.  For a full list of values see `OBInternalReadRefundAccount1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.Authorisation.AuthorisationType,Type of authorisation flow requested.
Data.DomesticStandingOrderId,OB: Unique identification as assigned by the ASPSP to uniquely identify the domestic standing order resource.
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds using a payment file.
Data.Initiation.FileType,Specifies the payment file type.
Data.Initiation.FileHash,A base64 encoding of a SHA256 hash of the file to be uploaded.
Data.Initiation.FileReference,Reference for the file.
Data.Initiation.NumberOfTransactions,Number of individual transactions contained in the payment information group.
Data.Initiation.ControlSum,"Total of all individual amounts included in the group, irrespective of currencies."
Data.FilePaymentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the file payment resource.
Data.Status,Specifies the status of the payment order resource. See `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets) for more information.
Data.FundsAvailableResult,Result of a funds availability check.
Data.FundsAvailableResult.FundsAvailableDateTime,"Date and time at which the funds availability check was generated. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.FundsAvailableResult.FundsAvailable,Flag to indicate the availability of funds given the Amount in the consent request.
Data.SupplementaryData,
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single international payment.
Data.Initiation.InstructionPriority,Indicator of the urgency or order of importance that the instructing party would like the instructed party to apply to the processing of the instruction.
Data.Initiation.ExtendedPurpose,"Specifies the purpose of an international payment, when there is no corresponding 4 character code available in the ISO20022 list of Purpose Codes."
Data.Initiation.ChargeBearer,
Data.Initiation.CurrencyOfTransfer,"Specifies the currency of the to be transferred amount, which is different from the currency of the debtor's account."
Data.Initiation.DestinationCountryCode,"Country in which Credit Account is domiciled. Code to identify a country, a dependency, or another area of particular geopolitical interest, on the basis of country names obtained from the United Nations (ISO 3166, Alpha-2 code)."
Data.Initiation.ExchangeRateInformation,Provides details on the currency exchange rate and contract.
Data.Initiation.ExchangeRateInformation.UnitCurrency,"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP."
Data.Initiation.ExchangeRateInformation.ExchangeRate,The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency.
Data.Initiation.ExchangeRateInformation.RateType,Specifies the type used to complete the currency exchange.
Data.Initiation.ExchangeRateInformation.ContractIdentification,Unique and unambiguous reference to the foreign exchange contract agreed between the initiating party/creditor and the debtor agent.
Data.Initiation.Creditor,Party to which an amount of money is due.
Data.Initiation.Creditor.Name,Name by which a party is known and which is usually used to identify that party.
Data.Initiation.Creditor.LEI,
Data.Initiation.Creditor.PostalAddress,
Data.ReadRefundAccount,Specifies to share the refund account details with PISP
Data.ExchangeRateInformation,Further detailed information on the exchange rate that has been used in the payment transaction.
Data.ExchangeRateInformation.UnitCurrency,"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP."
Data.ExchangeRateInformation.ExchangeRate,The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency.
Data.ExchangeRateInformation.RateType,Specifies the type used to complete the currency exchange.
Data.ExchangeRateInformation.ContractIdentification,Unique and unambiguous reference to the foreign exchange contract agreed between the initiating party/creditor and the debtor agent.
Data.ExchangeRateInformation.ExpirationDateTime,"Specified date and time the exchange rate agreement will expire. All dates in the JSON payloads are represented in ISO 8601 date-time format. 
All date-time fields in responses must include the timezone. An example is below:
2017-04-05T10:43:07+00:00"
Data.InternationalPaymentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the international payment resource.
Data.Status,Specifies the status of the payment information group.
Data.Refund,
Data.Refund.Creditor,Set of elements used to identify a person or an organisation.
Data.Refund.Creditor.Name,Name by which a party is known and which is usually used to identify that party.
Data.Refund.Creditor.LEI,
Data.Refund.Creditor.PostalAddress,
Data.Refund.Agent,Set of elements used to uniquely and unambiguously identify a financial institution or a branch of a financial institution.
Data.Refund.Agent.SchemeName,
Data.Refund.Agent.Identification,
Data.Refund.Agent.Name,
Data.Refund.Agent.PostalAddress,
Data.Refund.Account.Proxy,
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single scheduled international payment.
Data.Permission,Specifies the Open Banking service request types.
Data.InternationalScheduledPaymentId,OB: Unique identification as assigned by the ASPSP to uniquely identify the international scheduled payment resource.
Data.Status,Specifies the status of the payment order resource.
Data.Initiation,The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for an international standing order.
Data.Initiation.CreditorAgent,"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account."
Data.Initiation.CreditorAgent.Identification,Unique and unambiguous identification of the servicing institution.
Data.Initiation.CreditorAccount,Provides the details to identify the beneficiary account.
Data.InternationalStandingOrderId,OB: Unique identification as assigned by the ASPSP to uniquely identify the international standing order resource.
Data.Status,Specifies the status of resource in code form. For a list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.PaymentStatus,
PaymentTransactionId,Unique identifier for the transaction within an servicing institution. This identifier is both unique and immutable.
Status,"Status of a transfer, as assigned by the transaction administrator. For a full list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
StatusUpdateDateTime,"Date and time at which the status was assigned to the transfer.
"
StatusDetail,Payment status details as per underlying Payment Rail.
StatusDetail.LocalInstrument,
StatusDetail.Status,"Status of a transfer, as assigned by the transaction administrator. For a full list of values see `ExternalPaymentTransactionStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
StatusDetail.StatusReason,Reason Code provided for the status of a transfer. For a full list of values see code values for `OBExternalStatusReason1Code` in *ISO_External_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
StatusDetail.StatusReasonDescription,Reason provided for the status of a transfer. For a full list of values see the code name entries for `OBExternalStatusReason1Code` in *ISO_External_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets).
Data.ReadRefundAccount,"Indicates whether information about RefundAccount should be included in the payment response.
"
Data.ConsentId,"Unique identification as assigned by the ASPSP to uniquely identify the consent resource.
"
Data.CreationDateTime,"Date and time at which the resource was created.
"
Data.Status,Specifies the status of consent resource in code form. AWAU and RJCT only can returned on initial submission. For a full list of values see `OBInternalConsentStatus1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
Data.StatusUpdateDateTime,"Date and time at which the resource status was updated.
"
Data.ControlParameters,
Data.Initiation,
Data.DebtorAccount,
Data.ReadRefundAccount,"Indicates whether the `RefundAccount` object should be included in the response
"
ValidFromDateTime,^ Start date time for which the consent remains valid.
ValidToDateTime,^ End date time for which the consent remains valid.
MaximumIndividualAmount,The maximum amount of a single VRP payment.
PeriodicLimits,
VRPType,^ The types of payments that can be made under this VRP consent. This can be used to indicate whether this include sweeping payment or other ecommerce payments.
PSUAuthenticationMethods,^ Indicates that the PSU authentication methods supported.
PSUInteractionTypes,"Indicates interaction type, currently if customer is present or not present. If not provided the default is `OffSession` (the customer is not present) when the individual VRP payment is made."
SupplementaryData,^ Additional information that can not be captured in the structured fields and/or any other specific block
CreditorPostalAddress,
RegulatoryReporting,
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
SecondaryIdentification,"^ This is secondary identification of the account, as assigned by the account servicing institution.  This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination)"
Name,"Name of the account, as assigned by the account servicing institution.
Usage: the account name is the name or names of the account owner(s) represented at an account level.
The account name is not the product name or the nickname of the account."
SecondaryIdentification,"This is secondary identification of the account, as assigned by the account servicing institution.
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination)"
Identification,"Unique identifier used to indicate an account, entity, or transaction reference."
Name,^ Name by which an agent is known and which is usually used to identify that agent.
Data.ConsentId,Identifier for the Domestic VRP Consent that this payment is made under.
Data.PSUAuthenticationMethod,
Data.PSUInteractionType,
Data.VRPType,
Data.Instruction,
Data,"`Data.Refund` only included in the response if `Data.ReadRefundAccount` is set to `Yes` in the consent.
"
Data.DomesticVRPId,"Unique identification as assigned by the ASPSP to uniquely identify the domestic payment resource.
"
Data.ConsentId,"Identifier for the Domestic VRP Consent that this payment is made under.
"
Data.ExpectedExecutionDateTime,"Expected execution date and time for the payment resource.
"
Data.ExpectedSettlementDateTime,"Expected settlement date and time for the payment resource.
"
Data.Reference,"Unique reference, as assigned by the PISP, to unambiguously refer to the request related to the payment transaction. This must be the same value as the `Reference` field in the consent."
Data.InstructedAmount,
Data.CreationDateTime,Date and time at which the resource was created.
Data.Reference,"Unique reference, as assigned by the PISP, to unambiguously refer to the request related to the payment transaction."
Data.FundsAvailableResult,
FundsAvailableDateTime,Date and time at which the funds availability check was generated.
FundsAvailable,"Availability result, clearly indicating the availability of funds given the Amount in the request."
ChargeBearer,Specifies which party/parties will bear the charges associated with the processing of the payment transaction.
InstructionIdentification,"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.
Usage: the instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction.
It can be included in several messages related to the instruction."
EndToEndIdentification,"Unique identification assigned by the initiating party to unambiguously identify the transaction.
This identification is passed on, unchanged, throughout the entire end-to-end chain.
Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction.
It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field"
LocalInstrument,"User community specific instrument.
Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level."
SupplementaryData,"Additional information that can not be captured in the structured fields and/or any other specific block.
"
Issuer,The name or identifier of the organisation issuing the financial instrument or instruction.
Number,
RelatedDate,
LineDetails,Detailed descriptive lines of narrative for the payment reference or remittance information.
ReferredDocumentInformation,"References to related documents including document type, number, and issuer."
ReferredDocumentAmount,
Invoicer,"Identification of the organisation issuing the invoice, when it is different from the creditor or ultimate creditor"
Invoicee,"Identification of the party to whom an invoice is issued, when it is different from the debtor or ultimate debtor."
TaxRemittance,
AdditionalRemittanceInformation,
CountryCode,Country of the entity that requires the regulatory reporting information.
DebitCreditReportingIndicator,"Identifies whether the regulatory reporting information applies to the debit side, to the credit side or to both debit and credit sides of the transaction. For a full list of values refer to `OBExternalRegulatoryReportingType1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)"
Details,Set of elements used to provide details on the regulatory reporting information.
Date,Date related to the specified type of regulatory reporting details.
Country,Country related to the specified type of regulatory reporting details.
Amount,Amount of money to be reported for regulatory and statutory requirements.
PaymentContextCode,"Specifies the payment context, for a full list of values refer to `OBInternalPaymentContext1Code` in *OB_Internal_CodeSet* [here](https://github.com/OpenBankingUK/External_Internal_CodeSets)
"
